smiles,pKi,Ki,protein_path
CC(C)(C(N)=O)N1CCN(Cc2cc3nc(-c(c4c(cc5)[nH]cc4)c5F)nc(N4CCOCC4)c3s2)CC1,2.1804560644581312,6600.0,4wnv_meeko.pdb
O=C(c1cc(-c2nccnc2)nc2ccccc12)Nc1ccccc1,2.161150909262745,6900.0,4wnv_meeko.pdb
CC(C)(C=C1)Oc2c1c(OCC(C1)c(ccc(O)c3)c3O)c1cc2,2.154901959985743,7000.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H]([C@H](C)N(C(CS(C)(=O)=O)=O)c(cccc1)c1N1Cc(c2ccccc2cc2)c2OC)C1=O)=O)NC.Cl,2.1487416512809245,7100.0,4wnv_meeko.pdb
CSCc1ccc(-c2cnccc2)o1,2.1307682802690238,7400.0,4wnv_meeko.pdb
CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CCN(Cc2cnc3occc3c2)C1)=O,2.1249387366083,7500.0,4wnv_meeko.pdb
CC(O[C@H]([C@@H]([C@H](C(CC1)=C2)N1C1)c3c1cc1OCOc1c3)[C@@H]2O)=O,2.1191864077192086,7600.0,4wnv_meeko.pdb
CC[C@@H](C(N(C)CC(N(C)[C@@H](CC(C)C)C(N[C@@H](C(C)C)C(N(C)[C@@H](CC(C)C)C(N[C@@H](C)C(N[C@H](C)C(N(C)[C@@H](CC(C)C)C(N(C)[C@@H](CC(C)C)C(N(C)[C@@H](C(C)C)C(N(C)[C@H]1[C@@H]([C@H](C)C/C=C/C)O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC1=O,2.1191864077192086,7600.0,4wnv_meeko.pdb
CC(C)=CCC/C(/C)=C/COc1c(cco2)c2cc(O2)c1C=CC2=O,2.113509274827518,7700.0,4wnv_meeko.pdb
CC(C)C(CCCNC)(c(cc1)cc(OC)c1OC)C#N,2.1007268126823964,7930.0,4wnv_meeko.pdb
CN(C)c(cc1)ccc1NC(c1cc(-c2ncncc2)nc2ccccc12)=O,2.0757207139381184,8400.0,4wnv_meeko.pdb
